89,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Diagrama Ciclo Abierto OTEC","Se describe el funcionamiento de las plantas OTEC de Conversión de Energía Térmica del Océano (Ocean Thermal Energy Conversión) en ciclo abierto","Diagrama Ciclo Abierto OTEC.jpg",,,,,15
90,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Descripción energía marina – gradiente","Muestra en forma resumida los datos de las variables caracteristicas para la energía mareomotríz - gradiente","Descripción energía marina – gradiente.jpg",,,,,15
91,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Zonas apropiadas se ubican en la zona ecuatorial","Muestra las zonas apropiadas en el mundo en donde se podría generar electricidad a partir de gradientes térmicos en los océanos","Zonas apropiadas se ubican en la zona ecuatorial.jpg",,,,,15
92,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Mini-OTEC (1979)","En el año de 1979 se instaló una planta menor sobre un barco remolcador en Hawai (llamado Mini-OTEC)","Mini-OTEC (1979).jpg",,,,,15
93,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Proyectos en los últimos años","Se muestra la capacidad de los proyectos relacionados con esta tecnología, asi como también el país de origen y el año","Proyectos en los últimos años.jpg",,,,,15
94,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Proyectos últimos años","Se muestra mediante una gráfica la apacidad instalada de varios países en el mundo","Proyectos últimos años.jpg",,,,,15
95,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Planta experimental OTEC (1998)","Planta de conversión térmica experimental con capacidad para 210 kW instala en Hawai","Planta experimental OTEC (1998).jpg",,,,,15
96,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Costos de instalación plantas OTEC","Costos de instalación para dos tipos de plantas: tipo flotante, que básicamente son instaladas en embarcaciones y se ubican en un sector estratégico, y la que se localiza en las playas, que es de carácter estático.","Costos de instalación plantas OTEC.jpg",,,,,15
97,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Estimación de costos – planta flotante de 100 MW","Muestra los costos estimados que conllevaría construir una planta flotante generadora de 100 MW","Estimación de costos – planta flotante de 100 MW.jpg",,,,,15
98,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Esquema de “planta energética”","Muestra el modelo de una planta de múltiple aprovechamiento, conocida como “Isla energética”.","Esquema de “planta energética”.jpg",,,,,15
99,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Clasificación de la energía nuclear","Aplicaciones de la energía nuclear para el aprovechamiento en generación de energía eléctrica","Clasificación de la energía nuclear.jpg",5,,,,
